               tagname               | round  | count  
 ocpjp                               |  3.000 |     11
 woodstox                            |  3.000 |     11
 .net-micro-framework                |  2.960 |     25
 repair                              |  2.944 |     18
 final                               |  2.940 |    200
 projects                            |  2.933 |     30
 factory-method                      |  2.931 |     29
 128-bit                             |  2.929 |     14
 platform-independent                |  2.929 |     14
 initialization-list                 |  2.923 |     13
 navigateurl                         |  2.917 |     12
 rails-postgresql                    |  2.913 |     46
 lines-of-code                       |  2.913 |     23
 checkboxpreference                  |  2.909 |     11
 tr24731                             |  2.909 |     11
 omnisharp                           |  2.906 |     32
 non-recursive                       |  2.900 |     20
 database-table                      |  2.889 |     45
 brainfuck                           |  2.889 |     18
 uistatusbar                         |  2.882 |     68
 prolog-dif                          |  2.882 |     17
 duck-typing                         |  2.881 |     42
 const-correctness                   |  2.872 |     39
 python-stackless                    |  2.867 |     15
 mojibake                            |  2.857 |     21
 throwable                           |  2.857 |     21
 precompiled                         |  2.857 |     14
 text-indent                         |  2.857 |     14
 ecmascript-harmony                  |  2.850 |     40
 null-terminated                     |  2.846 |     26
 c64                                 |  2.846 |     13
 dynamic-compilation                 |  2.846 |     13
 imperative-programming              |  2.846 |     13
 startswith                          |  2.844 |     45
 variable-expansion                  |  2.839 |     31
 undo                                |  2.836 |    116
 method-signature                    |  2.833 |     30
 law-of-demeter                      |  2.833 |     18
 sizetofit                           |  2.833 |     18
 rethrow                             |  2.833 |     12
 tzinfo                              |  2.833 |     12
 naming-conventions                  |  2.830 |    519
 bounded-wildcard                    |  2.826 |     23
 using-directives                    |  2.821 |     39
 android-compatibility               |  2.818 |     11
 certificate-store                   |  2.810 |     21
 micro-optimization                  |  2.809 |    110
 bug-tracking                        |  2.805 |     41
 androiddesignsupport                |  2.804 |     51
 diagramming                         |  2.800 |     20
 goto                                |  2.797 |    123
 nsinteger                           |  2.793 |     29
 optional-arguments                  |  2.793 |     29
 prime-factoring                     |  2.787 |     61
 date-manipulation                   |  2.786 |     14
 unsupported-class-version           |  2.769 |     13
 access-specifier                    |  2.765 |     34
 vm-implementation                   |  2.765 |     34
 interface-implementation            |  2.765 |     17
 syntactic-sugar                     |  2.764 |     55
 theory                              |  2.756 |    250
 idisposable                         |  2.750 |    184
 ios5.1                              |  2.750 |     28
 twitter-bootstrap-rails             |  2.750 |     24
 right-align                         |  2.750 |     16
 data-oriented-design                |  2.750 |     12
 home-button                         |  2.750 |     12
 sizeof                              |  2.749 |    255
 strncpy                             |  2.742 |     31
 combinators                         |  2.741 |     27
 error-reporting                     |  2.737 |     57
 stringbuffer                        |  2.737 |     57
 uiedgeinsets                        |  2.737 |     19
 gray-code                           |  2.733 |     15
 string-parsing                      |  2.731 |    108
 visual-studio-2008-sp1              |  2.731 |     26
 android-snackbar                    |  2.727 |     66
 end-of-line                         |  2.727 |     22
 android-gradle-3.0                  |  2.727 |     11
 overflowexception                   |  2.727 |     11
 printstacktrace                     |  2.727 |     11
 primitive-types                     |  2.725 |    120
 utilities                           |  2.724 |     29
 error-checking                      |  2.722 |     18
 delete-operator                     |  2.720 |    150
 cstring                             |  2.717 |     60
 equivalence                         |  2.714 |     21
 encodable                           |  2.714 |     14
 css-shapes                          |  2.706 |    235
 shallow-copy                        |  2.706 |     51
 array-column                        |  2.706 |     17
 debug-mode                          |  2.706 |     17
 abstract-factory                    |  2.704 |     27
 msysgit                             |  2.703 |     64
 ngoninit                            |  2.697 |     33
 name-decoration                     |  2.692 |     13
 onresize                            |  2.692 |     13
 oauth2-playground                   |  2.688 |     16
 access-modifiers                    |  2.681 |    138
 shorthand                           |  2.681 |     47
 post-increment                      |  2.680 |     75
 arc4random                          |  2.667 |     27
 correctness                         |  2.667 |     24
 energy                              |  2.667 |     24
 badimageformatexception             |  2.667 |     21
 character-arrays                    |  2.667 |     15
 cfqueryparam                        |  2.667 |     12
 start-stop-daemon                   |  2.667 |     12
 synthetic                           |  2.667 |     12
 underflow                           |  2.667 |     12
 low-level                           |  2.663 |     86
 design-principles                   |  2.658 |     38
 strcat                              |  2.655 |     58
 ip-geolocation                      |  2.655 |     29
 coupling                            |  2.654 |     26
 anonymous-class                     |  2.652 |     89
 ruby-debug                          |  2.652 |     23
 bus-error                           |  2.650 |     20
 css-multicolumn-layout              |  2.649 |     37
 isnumeric                           |  2.645 |     31
 visual-c++-6                        |  2.644 |     59
 fsevents                            |  2.643 |     28
 in-operator                         |  2.643 |     14
 server.transfer                     |  2.643 |     14
 scala-2.8                           |  2.641 |     39
 svn-hooks                           |  2.640 |     25
 toupper                             |  2.640 |     25
 dynamic-languages                   |  2.636 |     22
 text-decorations                    |  2.636 |     22
 anonymous-struct                    |  2.636 |     11
 logical-and                         |  2.636 |     11
 voting                              |  2.625 |     32
 auto-ptr                            |  2.625 |     24
 build-server                        |  2.625 |     24
 equals-operator                     |  2.625 |     24
 array-key                           |  2.619 |     21
 chars                               |  2.619 |     21
 .net-2.0                            |  2.618 |    343
 activity-stack                      |  2.615 |     13
 coldfusion-7                        |  2.615 |     13
 duplicate-symbol                    |  2.615 |     13
 resharper-6.0                       |  2.615 |     13
 static-import                       |  2.615 |     13
 encapsulation                       |  2.613 |    261
 cmath                               |  2.613 |     31
 value-of                            |  2.611 |     18
 ecmascript-2017                     |  2.610 |     41
 postal-code                         |  2.609 |     46
 lowercase                           |  2.605 |    124
 conventions                         |  2.603 |    141
 game-theory                         |  2.600 |     30
 scjp                                |  2.600 |     25
 dangling-pointer                    |  2.600 |     20
 forums                              |  2.600 |     15
 tolower                             |  2.600 |     15
 case-sensitive                      |  2.598 |    132
 equals                              |  2.595 |    380
 double-checked-locking              |  2.591 |     22
 string-interning                    |  2.588 |     17
 asp.net-2.0                         |  2.583 |    120
 cohesion                            |  2.583 |     12
 dunit                               |  2.583 |     12
 punycode                            |  2.583 |     12
 visual-studio-6                     |  2.583 |     12
 git-rewrite-history                 |  2.571 |     42
 boo                                 |  2.571 |     21
 concurrent-programming              |  2.571 |     21
 gnustep                             |  2.571 |     21
 methodinfo                          |  2.571 |     21
 sql-convert                         |  2.571 |     21
 lastindexof                         |  2.571 |     14
 usleep                              |  2.571 |     14
 ios-darkmode                        |  2.568 |     37
 revert                              |  2.567 |     67
 one-liner                           |  2.565 |     23
 fractions                           |  2.563 |    103
 google-data-api                     |  2.563 |     32
 angular2-modules                    |  2.563 |     16
 network-monitoring                  |  2.563 |     16
 poi-hssf                            |  2.563 |     16
 info.plist                          |  2.561 |     98
 android-date                        |  2.559 |     34
 factorial                           |  2.558 |    165
 array-merge                         |  2.558 |     95
 private-members                     |  2.557 |     97
 rawstring                           |  2.556 |     18
 sql-drop                            |  2.556 |     18
 line-numbers                        |  2.553 |     38
 introspection                       |  2.551 |    118
 delphi-2009                         |  2.550 |    131
 size-t                              |  2.550 |     40
 case-insensitive                    |  2.548 |    135
 pscustomobject                      |  2.545 |     22
 clipper                             |  2.545 |     11
 cpu-cycles                          |  2.545 |     11
 edit-and-continue                   |  2.545 |     11
 kotlin-lateinit                     |  2.545 |     11
 prebuild                            |  2.545 |     11
 use-strict                          |  2.545 |     11
 spread-syntax                       |  2.543 |     46
 html-content-extraction             |  2.543 |     35
 null-pointer                        |  2.541 |     37
 undefined-behavior                  |  2.539 |    345
 protected                           |  2.539 |    141
 content-management                  |  2.538 |     13
 static-polymorphism                 |  2.538 |     13
 windows-vista                       |  2.535 |    187
 decrement                           |  2.534 |     58
 line-endings                        |  2.534 |     58
 largenumber                         |  2.533 |     60
 call-by-value                       |  2.533 |     15
 lis                                 |  2.533 |     15
 mysql-error-1045                    |  2.533 |     15
 java-home                           |  2.531 |     64
 commit-message                      |  2.526 |     19
 gethashcode                         |  2.524 |     42
 boxing                              |  2.523 |     65
 pch                                 |  2.522 |     23
 viewengine                          |  2.522 |     23
 business-logic-layer                |  2.516 |     31
 trim                                |  2.512 |    281
 fluent-interface                    |  2.509 |     55
 dhtml                               |  2.505 |     93
 uppercase                           |  2.503 |    173
 ternary-operator                    |  2.502 |    219
 finalizer                           |  2.500 |     60
 alphabet                            |  2.500 |     42
 linefeed                            |  2.500 |     36
 retaincount                         |  2.500 |     32
 versions                            |  2.500 |     32
 angular-schematics                  |  2.500 |     26
 ie-developer-tools                  |  2.500 |     26
 object-initializers                 |  2.500 |     26
 eventargs                           |  2.500 |     16
 ora-00904                           |  2.500 |     16
 actualwidth                         |  2.500 |     14
 boost-any                           |  2.500 |     14
 c-standard-library                  |  2.500 |     14
 guitar                              |  2.500 |     14
 arithmeticexception                 |  2.500 |     12
 blame                               |  2.500 |     12
 documentfragment                    |  2.500 |     12
 job-control                         |  2.500 |     12
 realpath                            |  2.500 |     12
 word-processor                      |  2.500 |     12
 date-arithmetic                     |  2.496 |    137
 portrait                            |  2.490 |     49
 palindrome                          |  2.488 |    211
 floating-accuracy                   |  2.488 |    170
 unset                               |  2.488 |     82
 raii                                |  2.487 |     76
 large-data-volumes                  |  2.487 |     39
 reverse                             |  2.486 |    492
 stringbuilder                       |  2.482 |    276
 fragment-identifier                 |  2.480 |     25
 datagridviewcheckboxcell            |  2.478 |     23
 scala-option                        |  2.478 |     23
 compareto                           |  2.476 |     84
 cocoa-design-patterns               |  2.476 |     21
 camelcasing                         |  2.475 |     61
 roman-numerals                      |  2.475 |     40
 osx-leopard                         |  2.474 |     57
 primitive                           |  2.473 |    129
 rhel5                               |  2.471 |     17
 primes                              |  2.469 |    409
 enumerable                          |  2.469 |     64
 duplicate-data                      |  2.469 |     49
 dvcs                                |  2.468 |    126
 default-parameters                  |  2.468 |     47
 nsrange                             |  2.467 |     45
 idictionary                         |  2.467 |     15
 tostring                            |  2.462 |    305
 iphone-3gs                          |  2.462 |     13
 onclientclick                       |  2.462 |     13
 zend-framework-mvc                  |  2.462 |     13
 anonymous-methods                   |  2.460 |     50
 np-complete                         |  2.458 |     48
 downcast                            |  2.456 |     79
 leap-year                           |  2.455 |     22
 throws                              |  2.455 |     22
 forfiles                            |  2.455 |     11
 google-maps-urls                    |  2.455 |     11
 inequalities                        |  2.455 |     11
 code-formatting                     |  2.450 |    200
 android-titlebar                    |  2.450 |     20
 binary-compatibility                |  2.450 |     20
 unsigned-long-long-int              |  2.450 |     20
 git-fetch                           |  2.444 |     54
 double-dispatch                     |  2.444 |     18
 graceful-degradation                |  2.444 |     18
 static-block                        |  2.444 |     18
 uidevice                            |  2.444 |     18
 visited                             |  2.444 |     18
 portability                         |  2.440 |    182
 rounded-corners                     |  2.438 |    130
 eclipse-wtp                         |  2.438 |     48
 runatserver                         |  2.438 |     16
 iis-5                               |  2.435 |     23
 immutability                        |  2.434 |    470
 strlen                              |  2.432 |     88
 open-source                         |  2.430 |    437
 build-process                       |  2.430 |    298
 system.out                          |  2.429 |     42
 stripe.net                          |  2.429 |     14
 template-function                   |  2.429 |     14
 nullptr                             |  2.426 |     47
 operators                           |  2.422 |    907
 unsigned                            |  2.422 |    180
 method-chaining                     |  2.422 |     83
 int                                 |  2.421 |   1180
 folding                             |  2.420 |     50
 control-flow                        |  2.419 |     93
 addclass                            |  2.418 |    158
 nvm                                 |  2.417 |    144
 data-consistency                    |  2.417 |     12
 ragel                               |  2.417 |     12
 tlist                               |  2.417 |     12
 w3c-geolocation                     |  2.417 |     12
 well-formed                         |  2.417 |     12
 xcrun                               |  2.417 |     12
 integer-overflow                    |  2.415 |    135
 digit                               |  2.415 |     41
 phone-number                        |  2.412 |    119
 object-persistence                  |  2.412 |     17
 pocketpc                            |  2.412 |     17
 parseexception                      |  2.409 |     22
 server-side-includes                |  2.409 |     22
 pass-by-value                       |  2.408 |    157
 parentheses                         |  2.407 |    113
 ascii-art                           |  2.407 |     54
 class-hierarchy                     |  2.407 |     27
 progressive-enhancement             |  2.407 |     27
 html-input                          |  2.406 |    106
 run-length-encoding                 |  2.406 |     32
 text-segmentation                   |  2.406 |     32
 sed                                 |  2.405 |   3610
 reference-type                      |  2.405 |     42
 ooad                                |  2.405 |     37
 komodo                              |  2.400 |     25
 sql-in                              |  2.400 |     25
 kotlin-null-safety                  |  2.400 |     20
 cfmail                              |  2.400 |     15
 fqdn                                |  2.400 |     15
 namevaluecollection                 |  2.400 |     15
 textile                             |  2.400 |     15
 digits                              |  2.397 |    131
 punctuation                         |  2.397 |     68
 slime                               |  2.395 |     43
 alloc                               |  2.395 |     38
 ilist                               |  2.395 |     38
 git-pull                            |  2.393 |    145
 argc                                |  2.393 |     28
 default-method                      |  2.393 |     28
 capitalize                          |  2.391 |     46
 into-outfile                        |  2.391 |     23
 break                               |  2.388 |    340
 reserved-words                      |  2.388 |     49
 mobile-phones                       |  2.387 |     31
 git-checkout                        |  2.385 |    148
 datetime-comparison                 |  2.385 |     13
 stringreader                        |  2.385 |     13
 truezip                             |  2.385 |     13
 sql-server-2005                     |  2.383 |   2248
 iterable-unpacking                  |  2.383 |     47
 random-access                       |  2.383 |     47
 java.util.date                      |  2.381 |     42
 mmc                                 |  2.381 |     21
 subclipse                           |  2.380 |     92
 quotes                              |  2.379 |    269
 implode                             |  2.378 |     98
 stl-algorithm                       |  2.378 |     45
 osx-snow-leopard                    |  2.375 |    176
 angular-guards                      |  2.375 |     16
 bag                                 |  2.375 |     16
 enum-flags                          |  2.375 |     16
 phonetics                           |  2.375 |     16
 templating-engine                   |  2.375 |     16
 declaration                         |  2.373 |    418
 memory-efficient                    |  2.373 |     51
 removeclass                         |  2.372 |     78
 convention                          |  2.372 |     43
 hint                                |  2.370 |     46
 back-stack                          |  2.369 |     65
 virtual-functions                   |  2.368 |    185
 codelens                            |  2.368 |     19
 servicehost                         |  2.368 |     19
 cidr                                |  2.366 |     41
 return-type                         |  2.365 |    192
 waterfall                           |  2.364 |     22
 azure-vm-role                       |  2.364 |     11
 contracts                           |  2.364 |     11
 fs-extra                            |  2.364 |     11
 honeypot                            |  2.364 |     11
 intelephense                        |  2.364 |     11
 modifiers                           |  2.364 |     11
 private-inheritance                 |  2.364 |     11
 qoq                                 |  2.364 |     11
 unix-head                           |  2.364 |     11
 conditional-operator                |  2.363 |    237
 hashcode                            |  2.362 |    229
 operator-precedence                 |  2.362 |    221
 collaboration                       |  2.359 |     64
 curly-braces                        |  2.357 |     84
 codesign                            |  2.357 |     70
 format-specifiers                   |  2.357 |     56
 producer                            |  2.357 |     28
 genealogy                           |  2.357 |     14
 gui-designer                        |  2.357 |     14
 hasownproperty                      |  2.357 |     14
 igrouping                           |  2.357 |     14
 maven-eclipse-plugin                |  2.357 |     14
 bit-manipulation                    |  2.355 |   1001
 anagram                             |  2.354 |     65
 variable-length                     |  2.353 |     34
 forth                               |  2.350 |     40
 hardcode                            |  2.350 |     20
 sequence-points                     |  2.350 |     20
 strip                               |  2.349 |    166
 development-environment             |  2.348 |    305
 string.format                       |  2.347 |     72
 iequatable                          |  2.346 |     26
 static-methods                      |  2.344 |    337
 rating-system                       |  2.344 |     32
 program-entry-point                 |  2.343 |    385
 negative-number                     |  2.342 |     76
 constants                           |  2.341 |   1348
 ankhsvn                             |  2.340 |     53
 awk                                 |  2.339 |   4020
 circular-buffer                     |  2.339 |     56
 business-logic                      |  2.338 |     80
 short                               |  2.338 |     74
 removing-whitespace                 |  2.337 |     98
 base-class                          |  2.337 |     86
 uibarbuttonitem                     |  2.336 |    259
 .net-3.5                            |  2.333 |    733
 memset                              |  2.333 |     60
 nodelist                            |  2.333 |     57
 pointfree                           |  2.333 |     36
 tabpage                             |  2.333 |     33
 luhn                                |  2.333 |     27
 column-width                        |  2.333 |     24
 android-inputtype                   |  2.333 |     21
 asp.net-mvc-3-areas                 |  2.333 |     18
 mariadb-10.5                        |  2.333 |     15
 didset                              |  2.333 |     12
 nameof                              |  2.333 |     12
 quine                               |  2.333 |     12
 sigpipe                             |  2.333 |     12
 vi                                  |  2.331 |    248
 date-format                         |  2.330 |    312
 android-datepicker                  |  2.330 |    100
 string-concatenation                |  2.327 |    294
 integer                             |  2.326 |   1683
 require-once                        |  2.326 |     46
 sublist                             |  2.325 |     80
 hp-ux                               |  2.325 |     40
 git-reset                           |  2.324 |     71
 cornerradius                        |  2.324 |     37
 partial-classes                     |  2.323 |     62
 prng                                |  2.323 |     31
 internet-explorer-6                 |  2.322 |    283
 anonymous-types                     |  2.321 |    140
 html-heading                        |  2.321 |     28
 jquery-selectors                    |  2.319 |   1134
 diskspace                           |  2.318 |     88
 stringification                     |  2.316 |     19
 swiftlint                           |  2.316 |     19
 substring                           |  2.315 |   1189
 standards                           |  2.315 |    416
 default-value                       |  2.315 |    270
 parseint                            |  2.315 |     92
 instanceof                          |  2.314 |    121
 autoboxing                          |  2.314 |     51
 double-precision                    |  2.314 |     35
 emacs23                             |  2.314 |     35
 string                              |  2.313 |  22870
 stl                                 |  2.313 |   1902
 nested-class                        |  2.313 |     80
 language-theory                     |  2.313 |     16
 nawk                                |  2.313 |     16
 readonly-collection                 |  2.313 |     16
 shadowing                           |  2.310 |     29
 strcmp                              |  2.309 |    110
 c#-3.0                              |  2.308 |    429
 pure-virtual                        |  2.308 |     52
 pep                                 |  2.308 |     26
 invokerequired                      |  2.308 |     13
 library-design                      |  2.308 |     13
 method-invocation                   |  2.308 |     13
 pathinfo                            |  2.308 |     13
 stringwithformat                    |  2.308 |     13
 ubuntu-9.10                         |  2.308 |     13
 numbers                             |  2.307 |   1516
 refactoring                         |  2.305 |    967
 maven-2                             |  2.305 |    719
 beta-testing                        |  2.304 |     23
 mktime                              |  2.303 |     33
 superglobals                        |  2.303 |     33
 javascript-framework                |  2.302 |    129
 reference-counting                  |  2.302 |     63
 copy-protection                     |  2.302 |     43
 deep-copy                           |  2.300 |    203
 numberformatexception               |  2.299 |     97
 erase                               |  2.298 |     84
 ellipsis                            |  2.297 |     91
 isset                               |  2.295 |    122
 code-readability                    |  2.295 |     44
 content-assist                      |  2.295 |     44
 newline                             |  2.294 |    609
 definition                          |  2.294 |    221
 graphical-logo                      |  2.294 |     34
 django-syncdb                       |  2.294 |     17
 significant-digits                  |  2.294 |     17
 toarray                             |  2.294 |     17
 typeinfo                            |  2.294 |     17
 user-stories                        |  2.294 |     17
 public                              |  2.291 |    227
 new-operator                        |  2.290 |    386
 member-variables                    |  2.290 |     31
 free                                |  2.288 |    313
 date-difference                     |  2.288 |     52
 floor                               |  2.288 |     52
 equality                            |  2.287 |    265
 void                                |  2.287 |    247
 linq-to-objects                     |  2.287 |    164
 java-time                           |  2.286 |    238
 unobtrusive-javascript              |  2.286 |     77
 days                                |  2.286 |     63
 cross-language                      |  2.286 |     21
 single-instance                     |  2.286 |     21
 dbx                                 |  2.286 |     14
 node-amqp                           |  2.286 |     14
 packed                              |  2.286 |     14
 subsampling                         |  2.286 |     14
 fibonacci                           |  2.284 |    296
 comparison                          |  2.283 |   1036
 variable-declaration                |  2.282 |     78
 git-add                             |  2.282 |     39
 vs-web-application-project          |  2.282 |     39
 .net-1.1                            |  2.280 |     50
 gets                                |  2.279 |     61
 charsequence                        |  2.278 |     18
 generalization                      |  2.278 |     18
 c-preprocessor                      |  2.276 |    740
 system-administration               |  2.276 |    105
 namedtuple                          |  2.273 |     66
 unboxing                            |  2.273 |     33
 argb                                |  2.273 |     22
 javascript-namespaces               |  2.273 |     22
 bitwise-or                          |  2.273 |     11
 desctools                           |  2.273 |     11
 dllnotfoundexception                |  2.273 |     11
 environ                             |  2.273 |     11
 equality-operator                   |  2.273 |     11
 function-signature                  |  2.273 |     11
 installed-applications              |  2.273 |     11
 linq-query-syntax                   |  2.273 |     11
 ownership-semantics                 |  2.273 |     11
 scroll-position                     |  2.273 |     11
 tfs-process-template                |  2.273 |     11
 top-command                         |  2.273 |     11
 unmodifiable                        |  2.273 |     11
 simpledateformat                    |  2.271 |    329
 unions                              |  2.271 |    207
 siblings                            |  2.271 |     96
 atoi                                |  2.269 |     67
 mobile-webkit                       |  2.269 |     26
 editing                             |  2.268 |    112
 return-value                        |  2.267 |    576
 fiber                               |  2.267 |     15
 sql-mode                            |  2.267 |     15
 typeof                              |  2.266 |     94
 destructor                          |  2.265 |    400
 multicore                           |  2.265 |    155
 kanban                              |  2.265 |     34
 netstat                             |  2.264 |     53
 string-conversion                   |  2.263 |     57
 yield-return                        |  2.263 |     38
 map-function                        |  2.262 |    107
 side-effects                        |  2.262 |     65
 paxos                               |  2.261 |     23
 private                             |  2.259 |    355
 numerical                           |  2.258 |     66
 hotlinking                          |  2.258 |     31
 onlongclicklistener                 |  2.257 |     35
 ubuntu-11.04                        |  2.257 |     35
 argument-passing                    |  2.255 |     94
 android-optionsmenu                 |  2.255 |     47
 switch-statement                    |  2.253 |   1433
 literals                            |  2.251 |    207
 virtualenvwrapper                   |  2.250 |     88
 retain                              |  2.250 |     72
 stdset                              |  2.250 |     52
 base-conversion                     |  2.250 |     32
 purely-functional                   |  2.250 |     32
 cassini                             |  2.250 |     28
 docker-run                          |  2.250 |     28
 redirectstandardoutput              |  2.250 |     24
 webrat                              |  2.250 |     24
 addressof                           |  2.250 |     16
 countries                           |  2.250 |     16
 manual-testing                      |  2.250 |     16
 parallel-extensions                 |  2.250 |     16
 android-jetpack-compose-list        |  2.250 |     12
 angularjs-ng-form                   |  2.250 |     12
 diagrams                            |  2.250 |     12
 hashref                             |  2.250 |     12
 jpda                                |  2.250 |     12
 object-composition                  |  2.250 |     12
 thread-state                        |  2.250 |     12
 uint32                              |  2.250 |     12
 ulong                               |  2.250 |     12
 list-comprehension                  |  2.249 |    860
 lisp                                |  2.249 |    847
 visual-studio-2008                  |  2.246 |   1884
 ruby-1.9                            |  2.245 |     53
 iphone-5                            |  2.244 |     86
 conceptual                          |  2.244 |     41
 icomparable                         |  2.244 |     41
 representation                      |  2.243 |     37
 android-sdk-tools                   |  2.242 |    153
 compiler-construction               |  2.241 |   1454
 datetime-parsing                    |  2.241 |     58
 formatexception                     |  2.241 |     29
 using                               |  2.240 |    233
 unsigned-integer                    |  2.240 |     75
 pci-dss                             |  2.240 |     25
 ide                                 |  2.239 |   1358
 absolute-value                      |  2.238 |     21
 effective-java                      |  2.238 |     21
 intellij-lombok-plugin              |  2.238 |     21
 uptime                              |  2.238 |     21
 c-strings                           |  2.237 |    346
 console.writeline                   |  2.237 |     38
 initializer                         |  2.236 |     89
 collections                         |  2.235 |   2969
 sql-server-2000                     |  2.235 |    307
 google-font-api                     |  2.235 |     51
 conditional-comments                |  2.235 |     34
 unary-operator                      |  2.235 |     34
 android-color                       |  2.235 |     17
 bitstring                           |  2.235 |     17
 remote-branch                       |  2.235 |     17
 strdup                              |  2.235 |     17
 validating                          |  2.235 |     17
 websphere-commerce                  |  2.235 |     17
 word-break                          |  2.235 |     17
 tdd                                 |  2.233 |    747
 output-buffering                    |  2.233 |     60
 xhtml                               |  2.231 |    822
 node.js-connect                     |  2.231 |     39
 delphi-2006                         |  2.231 |     26
